,Unnamed: 0,ID,LIMIT_BAL,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default,longest_unpaid_streak,total_bill,total_paid,avg_pay_ratio
0,21456,21457,250000.0,1,2,28,0,0,0,0,0,0,176925.0,179079.0,186166.0,189786.0,195130.0,198147.0,7000.0,10000.0,10000.0,10000.0,7300.0,8000.0,1,0,1125233.0,52300.0,0.046716908301958224
1,25415,25416,70000.0,3,1,30,2,2,2,2,2,2,55352.0,56448.0,57550.0,58008.0,58957.0,60367.0,2600.0,2600.0,2000.0,2500.0,2500.0,2400.0,1,2,346682.0,14600.0,0.041906668104101985
2,20110,20111,220000.0,1,2,36,-2,-2,-2,-1,2,0,637.0,0.0,0.0,300.0,300.0,728.0,0.0,0.0,365.0,0.0,578.0,198.0,1,2,1965.0,1141.0,0.8021245421245421
3,22871,22872,340000.0,3,1,44,3,3,2,0,0,0,160596.0,155508.0,149627.0,150733.0,140171.0,134203.0,6.0,8.0,5117.0,5008.0,5021.0,6026.0,1,3,890838.0,21186.0,0.02143615065382506
4,23214,23215,210000.0,1,2,39,-1,-1,-1,-1,0,-1,5119.0,20927.0,3702.0,3673.0,1883.0,384.0,20965.0,3702.0,3673.0,0.0,384.0,0.0,0,0,35688.0,28724.0,0.8003631672002676
5,14923,14924,160000.0,2,2,43,1,-2,-2,-2,-2,-1,0.0,0.0,0.0,0.0,0.0,695.0,0.0,0.0,0.0,0.0,695.0,0.0,0,1,695.0,695.0,1.0
6,8000,8001,30000.0,2,1,62,0,0,0,-2,-2,-2,11188.0,2990.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0,0,14178.0,1000.0,0.8668896321070234
7,25395,25396,20000.0,1,2,24,-1,-1,-1,-1,-1,0,4687.0,9060.0,5064.0,14745.0,6805.0,6805.0,15000.0,6004.0,14776.0,10000.0,0.0,7436.0,0,0,47166.0,53216.0,1.0625726548444754
8,18268,18269,150000.0,1,1,55,1,-1,-1,0,-1,-1,0.0,780.0,4639.0,100940.0,3284.0,2090.0,780.0,4639.0,100000.0,3284.0,2576.0,2576.0,0,1,111733.0,113855.0,1.0446446844636494
9,4732,4733,80000.0,1,2,23,0,0,0,0,-2,-2,71487.0,55641.0,24987.0,-600.0,-600.0,-600.0,2157.0,1500.0,0.0,0.0,0.0,0.0,0,0,150315.0,3657.0,0.019759518708827094
10,14161,14162,50000.0,2,2,25,-1,3,2,0,0,0,10695.0,10386.0,9993.0,9993.0,15300.0,0.0,0.0,0.0,200.0,5307.0,0.0,0.0,1,3,56367.0,5507.0,0.27337535098098076
11,29272,29273,170000.0,2,2,27,-1,-1,-1,-1,0,0,711.0,176.0,465.0,1422.0,582.0,291.0,176.0,1000.0,1422.0,291.0,0.0,291.0,0,0,3647.0,3180.0,0.9301075268817204
12,23761,23762,180000.0,2,2,49,0,0,0,0,0,0,56677.0,35062.0,32721.0,32627.0,28272.0,26984.0,1600.0,1600.0,1500.0,1000.0,968.0,1000.0,0,0,212343.0,7668.0,0.042349939658882965
13,2255,2256,30000.0,2,2,24,2,2,0,0,0,0,27954.0,27226.0,28427.0,28752.0,28447.0,24552.0,0.0,2000.0,1000.0,1100.0,1500.0,1000.0,0,2,165358.0,6600.0,0.04097981140980992
14,25606,25607,420000.0,1,1,44,1,2,0,0,0,0,35545.0,34332.0,35097.0,33025.0,36945.0,37276.0,6.0,3016.0,1846.0,5005.0,2005.0,1462.0,0,2,212220.0,13340.0,0.06625293790680382
